Date,C_,S_,W_,
20120430,0,1,0,990288.0
20120501,0,1,0,990188.0
20120502,0,1,1,989125.0
20120503,0,1,1,988500.0
20120504,0,1,1,989038.0
20120507,0,1,1,988288.0
20120508,0,1,1,986762.0
20120509,0,1,1,987112.0
20120510,0,1,1,988300.0
20120511,0,1,1,986050.0
20120514,0,0,1,985988.0
20120515,0,0,1,985475.0
20120516,0,0,1,983962.0
20120517,0,0,0,983588.0
20120518,1,0,1,984088.0
20120521,1,0,1,984400.0
20120522,0,0,1,981962.0
20120523,0,0,1,980962.0
20120524,0,0,1,980838.0
20120525,0,0,1,981688.0
20120529,1,0,1,981000.0
20120530,1,0,0,980850.0
20120531,1,0,0,981062.0
20120601,1,1,0,980425.0
20120604,1,1,0,979812.0
20120605,1,1,0,979362.0
20120606,1,0,0,976712.0
20120607,1,0,0,976325.0
20120608,1,0,0,976125.0
20120611,1,0,0,976425.0
20120612,1,0,0,976825.0
20120613,1,0,0,976400.0
20120614,0,0,0,975738.0
20120615,0,0,0,975738.0
20120618,0,0,0,975738.0
20120619,0,0,0,975738.0
20120620,0,0,0,975738.0
20120621,0,0,0,975738.0
20120622,0,0,0,975738.0
20120625,0,0,1,977525.0
20120626,1,0,1,977825.0
20120627,1,0,1,978150.0
20120628,1,0,1,977975.0
20120629,1,0,1,978650.0
20120702,1,1,1,980662.0
20120703,1,1,1,984850.0
20120705,1,1,1,991200.0
20120706,1,1,1,988150.0
20120709,1,1,1,993062.0
20120710,1,1,1,991225.0
20120711,1,1,1,989800.0
20120712,1,1,1,992238.0
20120713,1,1,1,993862.0
20120716,1,1,1,999462.0
20120717,1,1,1,999888.0
20120718,1,1,1,1003800.0
20120719,1,1,1,1008538.0
20120720,1,1,1,1010975.0
20120723,1,1,1,1005975.0
20120724,1,1,1,1000612.0
20120725,1,1,1,1004312.0
20120726,1,1,1,1000762.0
20120727,1,1,1,1004038.0
20120730,1,1,1,1008025.0
20120731,1,1,1,1005912.0
20120801,1,1,1,1004575.0
20120802,1,1,1,1002900.0
20120803,1,1,1,1005625.0
20120806,1,1,1,1003150.0
20120807,1,1,1,1001662.0
20120808,1,1,1,1003688.0
20120809,1,1,1,1007250.0
20120810,1,1,1,1005575.0
20120813,1,1,0,1001088.0
20120814,1,1,0,1000800.0
20120815,1,1,0,1003338.0
20120816,1,1,0,1003062.0
20120817,1,1,0,1004125.0
20120820,1,1,0,1006850.0
20120821,1,1,0,1010100.0
20120822,1,1,0,1009812.0
20120823,1,1,0,1008100.0
20120824,1,1,0,1008600.0
20120827,1,1,0,1007575.0
20120828,1,1,0,1007500.0
20120829,1,1,0,1009938.0
20120830,1,1,0,1010212.0
20120831,1,1,0,1009425.0
20120904,1,1,0,1010275.0
20120905,1,1,0,1008525.0
20120906,1,1,0,1008888.0
20120907,1,1,0,1008412.0
20120910,0,1,0,1006938.0
20120911,0,1,0,1006075.0
20120912,0,1,0,1008288.0
20120913,0,1,0,1008362.0
20120914,0,1,0,1007950.0
20120917,0,1,0,1004450.0
20120918,0,1,1,1003075.0
20120919,0,1,1,1003650.0
20120920,0,0,1,1001788.0
20120921,0,0,1,1000900.0
20120924,0,0,1,1001162.0
20120925,0,0,1,1001438.0
20120926,0,0,1,1002300.0
20120927,0,0,1,1002988.0
20120928,0,0,1,1000638.0
20121001,0,0,1,1001550.0
20121002,0,0,1,1002188.0
20121003,0,1,1,1001600.0
20121004,0,1,1,1000800.0
20121005,0,1,1,1001388.0
20121008,0,1,1,1001238.0
20121009,0,1,1,1001125.0
20121010,0,1,1,1002188.0
20121011,0,1,1,1000112.0
20121012,0,1,1,1002875.0
20121015,0,1,1,1004800.0
20121016,0,1,1,1004762.0
20121017,0,1,1,1003562.0
20121018,0,1,1,1001138.0
20121019,0,1,1,1001500.0
20121022,0,1,1,1000600.0
20121023,0,1,1,1000738.0
20121024,0,1,0,998600.0
20121025,0,1,0,998925.0
20121026,0,1,0,999062.0
20121029,0,1,0,1000762.0
20121030,0,1,0,1000425.0
20121031,0,1,0,999812.0
20121101,0,1,0,999250.0
20121102,0,1,0,1000912.0
20121105,0,1,0,1002088.0
20121106,0,1,0,1001475.0
20121107,0,1,0,1001900.0
20121108,0,1,0,1002462.0
20121109,0,1,0,1004688.0
20121112,0,1,0,1007000.0
20121113,0,1,0,1006850.0
20121114,0,1,0,1006300.0
20121115,0,1,0,1007150.0
20121116,0,1,1,1008338.0
20121119,0,1,1,1007575.0
20121120,0,1,1,1006512.0
20121121,0,1,1,1006725.0
20121123,0,1,1,1006075.0
20121126,0,1,1,1005712.0
20121127,0,1,1,1003250.0
20121128,0,1,1,1003262.0
20121129,0,1,0,1003212.0
20121130,0,1,0,1003675.0
20121203,0,1,0,1002925.0
20121204,0,1,0,1002838.0
20121205,0,1,0,1001650.0
20121206,0,1,0,1001050.0
20121207,0,1,0,1002000.0
20121210,0,1,0,1001875.0
20121211,0,1,1,1003138.0
20121212,0,1,1,1003538.0
20121213,0,1,1,1003562.0
20121214,0,1,1,1002312.0
20121217,0,0,1,1002488.0
20121218,0,0,1,1002325.0
20121219,1,0,1,1003162.0
20121220,1,0,1,1004250.0
20121221,1,0,1,1003900.0
20121224,1,0,1,1003700.0
20121226,1,0,1,1005212.0
20121227,1,0,1,1005412.0
20121228,1,0,1,1004962.0
20121231,1,0,1,1004788.0
20130102,1,1,1,1006512.0
20130103,1,1,1,1006862.0
20130104,1,1,1,1008688.0
20130107,1,1,1,1007162.0
20130108,1,1,1,1007138.0
20130109,1,1,1,1007162.0
20130110,1,1,1,1007275.0
20130111,1,1,1,1006588.0
20130114,1,1,1,1002975.0
20130115,1,0,1,1001000.0
20130116,0,0,1,1000662.0
20130117,0,0,1,1000850.0
20130118,0,0,1,1000350.0
20130122,0,0,1,1000950.0
20130123,0,0,1,1001175.0
20130124,0,0,1,1001488.0
20130125,0,0,1,1001088.0
20130128,0,0,1,1000950.0
20130129,0,0,1,1001062.0
20130130,0,0,1,1000562.0
20130131,0,0,1,1000938.0
20130201,0,0,1,1001662.0
20130204,0,0,1,1001762.0
20130205,0,0,1,1002038.0
20130206,0,0,1,1001838.0
20130207,0,0,1,1002112.0
20130208,0,0,1,1002100.0
20130211,0,0,1,1002838.0
20130212,0,0,1,1003312.0
20130213,0,0,1,1003138.0
20130214,0,0,1,1003312.0
20130215,0,0,1,1002800.0
20130219,0,0,1,1003300.0
20130220,0,0,1,1002988.0
20130221,0,0,1,1003850.0
20130222,0,1,1,1002312.0
20130225,0,0,1,1002375.0
20130226,0,0,1,1002088.0
20130227,0,0,1,1002038.0
20130228,0,0,1,1001912.0
20130301,0,0,1,1001612.0
20130304,0,0,1,1002512.0
20130305,0,0,1,1002338.0
20130306,0,0,1,1003450.0
20130307,0,0,1,1002862.0
20130308,0,0,1,1002788.0
20130311,0,0,1,1002638.0
20130312,0,0,1,1002462.0
20130313,0,0,1,1002138.0
20130314,0,0,1,1001400.0
20130315,0,0,1,1001488.0
20130318,0,0,1,1002000.0
20130319,0,0,1,1001538.0
20130320,0,0,1,1000838.0
20130321,0,0,1,1001200.0
20130322,0,0,1,1001150.0
20130325,0,0,1,1001275.0
20130326,0,0,1,1001062.0
20130327,0,0,0,1000788.0
20130328,0,1,1,998225.0
20130329,0,1,0,998225.0
20130401,1,1,1,1001600.0
20130402,1,1,1,1001188.0
20130403,1,1,1,1000538.0
20130404,1,1,1,1001650.0
20130405,1,1,1,1001962.0
20130408,1,1,0,1000212.0
20130409,1,1,0,998800.0
20130410,1,1,0,998700.0
20130411,1,1,0,998125.0
20130412,1,1,0,997212.0
20130415,1,0,0,997800.0
20130416,1,0,0,996975.0
20130417,1,0,0,997112.0
20130418,1,0,0,997912.0
20130419,1,0,0,997538.0
20130422,1,0,0,997850.0
20130423,1,0,0,998212.0
20130424,1,0,0,998162.0
20130425,1,0,0,997875.0
20130426,1,0,0,998112.0
20130429,0,0,1,996750.0
20130430,0,0,1,997475.0
20130501,0,0,1,996975.0
20130502,0,0,1,997350.0
20130503,0,0,1,996975.0
20130506,0,0,1,996062.0
20130507,0,0,1,996375.0
20130508,0,0,1,996225.0
20130509,0,0,1,997100.0
20130510,0,0,1,996138.0
20130513,0,0,1,996412.0
