Date,TY,FV,US,ES,NQ,EM,
20110601,1,1,1,0,0,0,512062.0
20110602,1,1,1,0,0,0,510429.0
20110603,1,1,1,0,0,0,511398.0
20110606,1,1,1,0,0,0,511257.0
20110607,1,1,1,0,0,0,511116.0
20110608,1,1,1,0,0,0,512710.0
20110609,1,1,1,0,0,0,511468.0
20110610,1,1,1,1,1,0,512742.0
20110613,1,1,1,1,1,0,512030.0
20110614,0,0,0,1,1,0,509351.0
20110615,1,1,0,1,1,0,511288.0
20110616,1,1,1,1,1,0,511926.0
20110617,1,1,1,1,1,0,511101.0
20110620,1,1,1,1,1,0,510292.0
20110621,1,1,1,1,1,0,508082.0
20110622,1,1,1,0,1,0,508108.0
20110623,1,1,1,0,1,0,510183.0
20110624,1,1,1,0,0,0,510680.0
20110627,1,1,1,0,0,0,508984.0
20110628,1,1,1,0,0,0,505859.0
20110629,1,1,0,0,0,0,504924.0
20110630,0,0,0,0,0,0,504379.0
20110701,0,0,0,0,0,0,504379.0
20110705,0,0,0,0,0,0,504379.0
20110706,0,0,0,0,0,0,504379.0
20110707,0,0,0,0,0,0,504379.0
20110708,0,0,0,0,0,0,504379.0
20110711,0,0,0,0,0,0,504379.0
20110712,0,0,0,0,0,0,504379.0
20110713,0,0,0,0,0,0,504379.0
20110714,0,0,0,0,0,0,504379.0
20110715,0,0,0,0,0,0,504379.0
20110718,0,0,0,0,0,0,504379.0
20110719,0,0,0,0,0,0,504379.0
20110720,0,0,0,0,0,0,504379.0
20110721,0,0,0,0,0,0,504379.0
20110722,0,0,0,0,0,0,504379.0
20110725,0,0,0,0,0,0,504379.0
20110726,0,0,0,0,0,0,504379.0
20110727,0,0,0,0,0,0,504379.0
20110728,0,0,0,0,0,0,504379.0
20110729,0,0,0,0,0,0,504379.0
20110801,0,0,1,0,0,0,504578.0
20110802,1,1,1,1,0,0,507264.0
20110803,1,1,1,1,0,0,507394.0
20110804,1,1,1,1,1,0,513731.0
20110805,1,1,1,1,1,0,511434.0
20110808,1,1,1,1,1,0,523997.0
20110809,1,1,1,1,1,0,522570.0
20110810,1,1,1,1,1,0,527640.0
20110811,1,1,1,1,1,0,519836.0
20110812,1,1,1,1,1,0,521628.0
20110815,1,1,1,1,1,0,518718.0
20110816,1,1,1,1,1,0,520829.0
