Date,ES,
20140529,0,111362.0
20140530,0,111362.0
20140602,0,111362.0
20140603,0,111362.0
20140604,0,111362.0
20140605,0,111362.0
20140606,0,111362.0
20140609,0,111362.0
20140610,0,111362.0
20140611,0,111362.0
20140612,0,111362.0
20140613,0,111362.0
20140616,0,111362.0
20140617,0,111362.0
20140618,0,111362.0
20140619,0,111362.0
20140620,0,111362.0
20140623,0,111362.0
20140624,0,111362.0
20140625,1,111950.0
20140626,0,112000.0
20140627,0,112000.0
20140630,0,112000.0
20140701,0,112000.0
20140702,0,112000.0
20140703,0,112000.0
20140707,0,112000.0
20140708,0,112000.0
20140709,0,112000.0
20140710,0,112000.0
20140711,0,112000.0
20140714,0,112000.0
20140715,0,112000.0
20140716,0,112000.0
20140717,0,112000.0
20140718,0,112000.0
20140721,0,112000.0
20140722,0,112000.0
20140723,0,112000.0
20140724,0,112000.0
20140725,0,112000.0
20140728,0,112000.0
20140729,0,112000.0
20140730,0,112000.0
20140731,0,112000.0
20140801,0,112000.0
20140804,0,112000.0
20140805,0,112000.0
20140806,0,112000.0
20140807,0,112000.0
20140808,0,112000.0
20140811,0,112000.0
20140812,0,112000.0
20140813,0,112000.0
20140814,0,112000.0
20140815,0,112000.0
20140818,0,112000.0
20140819,0,112000.0
20140820,0,112000.0
20140821,0,112000.0
20140822,0,112000.0
20140825,0,112000.0
20140826,0,112000.0
20140827,0,112000.0
20140828,0,112000.0
20140829,0,112000.0
20140902,0,112000.0
20140903,0,112000.0
20140904,1,112075.0
20140905,1,112488.0
20140908,0,112312.0
20140909,0,112312.0
20140910,1,112900.0
20140911,0,112450.0
20140912,0,112450.0
20140915,0,112450.0
20140916,0,112450.0
20140917,0,112450.0
20140918,0,112450.0
20140919,0,112450.0
20140922,0,112450.0
20140923,1,112075.0
20140924,1,113012.0
20140925,0,112712.0
20140926,0,112712.0
20140929,0,112712.0
20140930,0,112712.0
20141001,1,111700.0
20141002,1,111588.0
20141003,1,112675.0
20141006,1,112462.0
20141007,1,111062.0
20141008,0,111025.0
20141009,0,111025.0
20141010,0,111025.0
20141013,1,109638.0
20141014,1,110100.0
20141015,1,108700.0
20141016,1,108888.0
20141017,1,110412.0
20141020,1,110488.0
20141021,1,108588.0
20141022,1,109238.0
20141023,1,108188.0
20141024,1,107500.0
20141027,0,107850.0
20141028,0,107850.0
20141029,0,107850.0
20141030,0,107850.0
20141031,0,107850.0
20141103,0,107850.0
20141104,0,107850.0
20141105,0,107850.0
20141106,0,107850.0
20141107,0,107850.0
20141110,0,107850.0
20141111,0,107850.0
20141112,0,107850.0
20141113,0,107850.0
20141114,0,107850.0
20141117,0,107850.0
20141118,0,107850.0
20141119,0,107850.0
20141120,0,107850.0
20141121,0,107850.0
20141124,0,107850.0
20141125,0,107850.0
20141126,0,107850.0
20141128,0,107850.0
20141201,0,107850.0
20141202,0,107850.0
20141203,0,107850.0
20141204,0,107850.0
20141205,0,107850.0
20141208,0,107850.0
20141209,0,107850.0
20141210,1,107512.0
20141211,1,107738.0
20141212,1,106062.0
20141215,1,105700.0
20141216,1,104788.0
20141217,0,105062.0
20141218,0,105062.0
20141219,0,105062.0
20141222,0,105062.0
20141223,0,105062.0
20141224,0,105062.0
20141226,0,105062.0
20141229,0,105062.0
20141230,0,105062.0
20141231,0,105062.0
20150102,1,104838.0
20150105,1,103325.0
20150106,1,102250.0
20150107,1,103500.0
20150108,1,105275.0
20150109,0,105512.0
20150112,0,105512.0
20150113,1,105550.0
20150114,1,105125.0
20150115,1,104200.0
20150116,1,105400.0
