Date,EC,JY,
20120806,1,1,64671.0
20120807,1,1,65708.0
20120808,1,1,64758.0
20120809,1,1,64158.0
20120810,1,1,63433.0
20120813,1,1,64196.0
20120814,1,1,65008.0
20120815,1,1,64733.0
20120816,1,1,63858.0
20120817,1,1,64933.0
20120820,1,1,64308.0
20120821,1,1,63266.0
20120822,1,1,64120.0
20120823,1,1,64520.0
20120824,1,1,63408.0
20120827,1,1,63095.0
20120828,1,1,64333.0
20120829,1,1,63545.0
20120830,1,1,63395.0
20120831,1,1,64920.0
20120903,1,1,65233.0
20120904,1,1,64583.0
20120905,1,1,65008.0
20120906,1,1,64670.0
20120907,1,1,67733.0
20120910,1,1,67445.0
20120911,1,1,69558.0
20120912,1,1,69783.0
20120913,1,1,71783.0
20120914,1,1,71670.0
20120917,1,1,71473.0
20120918,1,1,70861.0
20120919,1,1,70223.0
20120920,1,1,69083.0
20120921,1,1,68596.0
20120924,1,1,68633.0
20120925,1,1,68608.0
20120926,1,1,69358.0
20120927,1,1,68271.0
20120928,1,1,68308.0
20121001,1,1,67796.0
20121002,1,1,67233.0
20121003,1,1,66583.0
20121004,1,1,66156.0
20121005,1,1,65196.0
20121008,1,1,63471.0
20121009,1,1,62371.0
20121010,1,1,61004.0
20121011,1,1,60904.0
20121012,1,1,60666.0
20121015,1,1,61479.0
20121016,1,1,60670.0
20121017,1,1,61845.0
20121018,1,1,61632.0
20121019,1,1,61207.0
20121022,1,1,62695.0
20121023,1,1,61832.0
20121024,1,1,61607.0
20121025,1,1,62207.0
20121026,1,1,60147.0
20121029,1,1,60822.0
20121030,1,1,58360.0
20121031,1,1,58060.0
20121101,1,1,57560.0
20121102,1,1,58823.0
20121105,1,1,59035.0
20121106,1,1,58960.0
20121107,1,1,58573.0
20121108,1,1,57810.0
20121109,1,1,57714.0
20121112,1,1,57677.0
20121113,1,1,57864.0
20121114,1,1,55839.0
20121115,1,1,55989.0
20121116,1,1,56614.0
20121119,1,1,55901.0
20121120,1,1,56539.0
20121121,1,1,58226.0
20121123,1,1,60026.0
20121126,1,1,59351.0
20121127,1,1,58989.0
20121128,1,1,58501.0
20121129,1,1,59414.0
20121130,1,1,60214.0
20121203,1,1,60639.0
20121204,1,1,60451.0
20121205,1,1,61101.0
20121206,1,1,59659.0
20121207,1,1,60159.0
20121210,1,1,59921.0
20121211,1,1,59434.0
20121212,1,1,59734.0
20121213,1,1,59871.0
20121214,1,1,60696.0
20121217,1,1,61371.0
20121218,1,1,62746.0
20121219,1,1,63471.0
20121220,1,1,63446.0
20121221,1,1,62271.0
20121224,1,1,63421.0
20121226,1,1,65259.0
20121227,1,1,66171.0
20121228,1,1,66034.0
20121231,1,1,66684.0
20130102,1,1,67196.0
20130103,1,1,68121.0
20130104,1,1,69559.0
20130107,1,1,68571.0
20130108,1,1,67896.0
20130109,1,1,66121.0
20130110,1,1,62002.0
20130111,1,1,64677.0
20130114,1,1,65489.0
20130115,1,1,63564.0
20130116,1,1,62989.0
20130117,1,1,66614.0
20130118,1,1,65764.0
20130122,1,1,63714.0
20130123,1,1,61827.0
20130124,1,1,59577.0
20130125,1,1,62290.0
20130128,1,1,61802.0
20130129,1,1,62140.0
20130130,1,1,63865.0
20130131,1,1,64252.0
20130201,1,1,67340.0
20130204,1,1,65040.0
20130205,1,1,67290.0
20130206,1,1,66565.0
20130207,1,1,66615.0
20130208,1,1,66052.0
20130211,1,1,66602.0
20130212,1,1,66077.0
20130213,1,1,65940.0
20130214,1,1,65902.0
20130215,1,1,65215.0
20130219,1,1,64777.0
20130220,1,1,65515.0
20130221,1,1,67990.0
20130222,1,1,67440.0
20130225,1,1,65115.0
20130226,1,1,64965.0
20130227,1,1,64577.0
20130228,1,1,65927.0
20130301,1,1,67802.0
20130304,1,1,67502.0
20130305,1,1,67102.0
20130306,1,1,68765.0
20130307,1,1,69215.0
20130308,1,1,68227.0
20130311,1,1,68502.0
20130312,1,1,68227.0
20130313,1,1,69215.0
20130314,1,1,68790.0
20130315,1,1,67252.0
20130318,1,1,68540.0
20130319,1,1,69002.0
20130320,1,1,69190.0
20130321,1,1,68215.0
20130322,1,1,66765.0
20130325,1,1,64188.0
20130326,1,1,62688.0
20130327,1,1,63901.0
20130328,1,1,63776.0
20130329,1,1,63776.0
20130401,1,1,64401.0
20130402,1,1,64838.0
20130403,1,1,65151.0
20130404,1,1,60269.0
20130405,1,1,61687.0
20130408,1,1,63512.0
20130409,1,1,64824.0
20130410,1,1,64937.0
20130411,1,1,65799.0
20130412,1,1,64062.0
20130415,1,1,61474.0
20130416,1,1,63587.0
20130417,1,1,61937.0
20130418,1,1,62674.0
20130419,1,1,64687.0
20130422,1,1,64487.0
20130423,1,1,63917.0
20130424,1,1,63654.0
20130425,1,1,63517.0
20130426,1,1,62122.0
20130429,1,1,61559.0
20130430,1,1,61333.0
20130501,1,1,62133.0
20130502,1,1,59420.0
20130503,1,1,58683.0
20130506,1,1,58083.0
20130507,1,1,57633.0
20130508,1,1,58345.0
20130509,1,1,58906.0
20130510,1,1,60493.0
20130513,1,1,61143.0
20130514,1,1,61931.0
20130515,1,1,62793.0
20130516,1,1,62093.0
20130517,1,1,64406.0
20130520,1,1,62443.0
20130521,1,1,62756.0
20130522,1,1,64268.0
20130523,1,1,59868.0
20130524,1,1,61080.0
20130528,1,1,60330.0
20130529,1,1,60693.0
20130530,1,1,61180.0
20130531,1,1,60730.0
20130603,1,1,63380.0
20130604,1,1,62743.0
20130605,1,1,63830.0
20130606,1,1,68443.0
20130607,1,1,67880.0
20130610,1,1,66655.0
20130611,1,1,70618.0
20130612,1,1,71530.0
20130613,1,1,72855.0
20130614,1,1,73593.0
20130617,1,1,72793.0
20130618,1,1,72993.0
20130619,1,1,70098.0
20130620,1,1,71299.0
20130621,1,1,72624.0
20130624,1,1,72762.0
20130625,1,1,73249.0
20130626,1,1,74487.0
20130627,1,1,74624.0
20130628,1,1,75999.0
20130701,1,1,76199.0
20130702,1,1,78299.0
20130703,1,1,77237.0
20130705,1,1,80887.0
20130708,1,1,80062.0
20130709,1,1,81099.0
20130710,1,1,78962.0
20130711,1,1,77699.0
20130712,1,1,76811.0
20130715,1,1,76299.0
20130716,1,1,78324.0
20130717,1,1,77199.0
20130718,1,1,75974.0
20130719,1,1,76699.0
20130722,1,1,78161.0
20130723,1,1,78911.0
20130724,1,1,77474.0
20130725,1,1,78861.0
20130726,1,1,81024.0
20130729,1,1,81324.0
20130730,1,1,81161.0
20130731,1,1,82336.0
20130801,1,1,78549.0
20130802,1,1,77567.0
20130805,1,1,76505.0
20130806,1,1,76214.0
20130807,1,1,78239.0
20130808,1,1,78751.0
20130809,1,1,78414.0
20130812,1,1,77064.0
20130813,1,1,75651.0
20130814,1,1,75776.0
20130815,1,1,75651.0
20130816,1,1,74530.0
20130819,1,1,74605.0
20130820,1,1,76030.0
20130821,1,1,74817.0
20130822,1,1,74463.0
20130823,1,1,74938.0
20130826,1,1,74788.0
20130827,1,1,72913.0
20130828,1,1,73125.0
20130829,1,1,73313.0
20130830,1,1,73626.0
20130903,1,1,75801.0
20130904,1,1,75676.0
20130905,1,1,77238.0
20130906,1,1,75326.0
20130909,1,1,74876.0
20130910,1,1,75738.0
20130911,1,1,74717.0
20130912,1,1,74005.0
20130913,1,1,73817.0
20130916,1,1,73217.0
20130917,1,1,73580.0
20130918,1,1,76917.0
20130919,1,1,75430.0
20130920,1,1,75317.0
20130923,1,1,75655.0
20130924,1,1,75430.0
20130925,1,1,76467.0
20130926,1,1,75592.0
20130927,1,1,76630.0
20130930,1,1,76805.0
20131001,1,1,77330.0
20131002,1,1,78605.0
20131003,1,1,79292.0
20131004,1,1,78217.0
20131007,1,1,79205.0
20131008,1,1,78955.0
20131009,1,1,77739.0
20131010,1,1,76768.0
20131011,1,1,76981.0
20131014,1,1,76468.0
20131015,1,1,77156.0
20131016,1,1,77593.0
20131017,1,1,76031.0
20131018,1,1,76081.0
20131021,1,1,76493.0
20131022,1,1,77668.0
20131023,1,1,77543.0
20131024,1,1,77793.0
20131025,1,1,77818.0
20131028,1,1,77393.0
20131029,1,1,76093.0
20131030,1,1,74915.0
20131031,1,1,74268.0
20131101,1,1,76068.0
20131104,1,1,75481.0
20131105,1,1,76068.0
20131106,1,1,75606.0
20131107,1,1,75743.0
20131108,1,1,78281.0
20131111,1,1,77793.0
20131112,1,1,78043.0
20131113,1,1,77218.0
20131114,1,1,78181.0
20131115,1,1,77956.0
20131118,1,1,77631.0
20131119,1,1,77068.0
20131120,1,1,75543.0
20131121,1,1,77306.0
20131122,1,1,78693.0
20131125,1,1,78668.0
20131126,1,1,78893.0
20131127,1,1,79943.0
20131129,1,1,80518.0
20131202,1,1,80693.0
20131203,1,1,80456.0
20131204,1,1,79481.0
20131205,1,1,81118.0
20131206,1,1,79906.0
20131209,1,1,80021.0
20131210,1,1,79708.0
20131211,1,1,79858.0
20131212,1,1,80121.0
20131213,1,1,79908.0
20131216,1,1,80033.0
20131217,1,1,79696.0
20131218,1,1,76779.0
20131219,1,1,76791.0
20131220,1,1,76441.0
20131223,1,1,76291.0
20131224,1,1,76616.0
20131226,1,1,76991.0
20131227,1,1,75277.0
20131230,1,1,76102.0
20131231,1,1,76115.0
20140102,1,1,73434.0
20140103,1,1,74071.0
20140106,1,1,73159.0
20140107,1,1,73646.0
20140108,1,1,74446.0
20140109,1,1,74284.0
20140110,1,1,72991.0
20140113,1,1,74128.0
20140114,1,1,72641.0
20140115,1,1,73116.0
20140116,1,1,73253.0
20140117,1,1,74303.0
20140121,1,1,73978.0
20140122,1,1,73991.0
20140123,1,1,71325.0
20140124,1,1,71368.0
20140127,1,1,70693.0
20140128,1,1,70568.0
20140129,1,1,71543.0
20140130,1,1,69119.0
20140131,1,1,70406.0
20140203,1,1,71606.0
20140204,1,1,70856.0
20140205,1,1,71006.0
20140206,1,1,69356.0
20140207,1,1,68631.0
20140210,1,1,68581.0
20140211,1,1,67656.0
20140212,1,1,66919.0
20140213,1,1,67706.0
20140214,1,1,67531.0
20140218,1,1,68769.0
20140219,1,1,68631.0
20140220,1,1,68306.0
20140221,1,1,68856.0
20140224,1,1,68719.0
20140225,1,1,68406.0
20140226,1,1,68031.0
20140227,1,1,67906.0
20140228,1,1,68346.0
20140303,1,1,67659.0
20140304,1,1,66696.0
20140305,1,1,66571.0
20140306,1,1,68290.0
20140307,1,1,68728.0
20140310,1,1,68590.0
20140311,1,1,68265.0
20140312,1,1,68415.0
20140313,1,1,66494.0
20140314,1,1,67506.0
20140317,1,1,67156.0
20140318,1,1,67519.0
20140319,1,1,66114.0
20140320,1,1,66764.0
20140321,1,1,66889.0
20140324,1,1,66301.0
20140325,1,1,66426.0
20140326,1,1,67114.0
20140327,1,1,67514.0
20140328,1,1,66538.0
20140331,1,1,66725.0
20140401,1,1,67100.0
