-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : CL Mkt Name : Crude
20171024        Sxit1  1   5.46300    -950.00  -12090.00
20171030   SimpleSell  1   5.26900       0.00       0.00
20171108        Sxit1  1   5.48200   -2230.00  -14320.00
20171127   SimpleSell  1   5.24500       0.00       0.00
20180103        Sxit1  1   5.28100    -460.00  -14780.00
20180124    SimpleBuy  1   5.78200       0.00       0.00
20180212         Lxit  1   5.22400   -5680.00  -20460.00
20180525    SimpleBuy  1   5.48400       0.00       0.00
20180706         Lxit  1   5.35000   -1440.00  -21900.00
20180925    SimpleBuy  1   5.57300       0.00       0.00
20181114   OTE - Lxit  1   6.55100    9680.00  -12220.00
20190603   SimpleSell  1   4.92300       0.00       0.00
20190904        Sxit1  1   4.85600     570.00  -11650.00
20190910    SimpleBuy  1   5.11600       0.00       0.00
20191001         Lxit  1   4.80700   -3190.00  -14840.00
20191105    SimpleBuy  1   5.15500       0.00       0.00
20191120         Lxit  1   4.84700   -3180.00  -18020.00
20191202   SimpleSell  1   4.59300       0.00       0.00
20200131   OTE - Sxit  1   4.11800    4650.00  -13370.00
20200513   SimpleSell  1   3.76600       0.00       0.00
20200804        Sxit1  1   3.91300   -1570.00  -14940.00
20200817    SimpleBuy  1   4.20800       0.00       0.00
20200918         Lxit  1   3.71200   -5060.00  -20000.00
20201120   SimpleSell  1   3.41900       0.00       0.00
20210113        Sxit1  1   3.45700    -480.00  -20480.00
20210614    SimpleBuy  1   3.89400       0.00       0.00
20210809   OTE - Lxit  1   4.74600    8420.00  -12060.00
20211207   SimpleSell  1   3.91800       0.00       0.00
20220113        Sxit1  1   5.13000  -12220.00  -24280.00
20220324    SimpleBuy  1   5.66000       0.00       0.00
20220328   OTE - Lxit  1   6.09500    4250.00  -20030.00
-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : S_ Mkt Name : SoyBean
20100129   SimpleSell  1 641.25000       0.00       0.00
20100414        Sxit1  1 669.25000   -1500.00   -1500.00
20100709    SimpleBuy  1 687.25000       0.00       0.00
20100903   OTE - Lxit  1 746.25000    2850.00    1350.00
20110624   SimpleSell  1 1021.00000       0.00       0.00
20110712        Sxit1  1 1056.50000   -1875.00    -525.00
20110810   SimpleSell  1 1009.25000       0.00       0.00
20110818        Sxit1  1 1072.25000   -3250.00   -3775.00
20110829    SimpleBuy  1 1127.00000       0.00       0.00
20110916         Lxit  1 1064.25000   -3237.50   -7012.50
20110923   SimpleSell  1 991.50000       0.00       0.00
20111003   OTE - Sxit  1 881.75000    5387.50   -1625.00
20120224    SimpleBuy  1 963.50000       0.00       0.00
20120425   OTE - Lxit  1 1140.75000    8762.50    7137.50
